id,word,type,grammar,parent,meaning,note,factors,factor_meaning,status,confidence,strlen,source,language
100288,jāṇuphāsubhāvadīpanenāti,.un.,,,,,jāṇuphāsubhāvadīpanenā+iti,,1,60,24,union,cm
100289,jātājātāti,.un.,,,,,jātājātā+iti,,1,60,10,union,cm
100290,jātakāti,.un.,,,,,jātakā+iti,,1,60,8,union,cm
100291,jātarūpagatikamevāti,.un.,,,,,jātarūpagatikaṃ+eva+iti,,1,80,20,union,cm
100292,jātidhammāti,.un.,,,,,jātidhammā+iti,,1,60,12,union,cm
100293,jaṭitāti,.un.,,,,,jaṭitā+iti,,1,60,8,union,cm
100294,javanabhāvenāti,.un.,,,,,javanabhāvenā+iti,,1,60,15,union,cm
100295,javanavīthiyāti,.un.,,,,,javanavīthiyā+iti,,1,60,15,union,cm
100296,jegucchāti,.un.,,,,,jegucchā+iti,,1,60,10,union,cm
100297,jeṭṭhabhātāti,.un.,,,,,jeṭṭhabhātā+iti,,1,60,13,union,cm
100298,jeṭṭhakāti,.un.,,,,,jeṭṭhakā+iti,,1,60,10,union,cm
100299,jeṭṭhāti,.un.,,,,,jeṭṭhā+iti,,1,60,8,union,cm
100300,jhānabhedenāti,.un.,,,,,jhānabhedenā+iti,,1,60,14,union,cm
100301,jhānārammaṇāti,.un.,,,,,jhānārammaṇā+iti,,1,60,14,union,cm
100302,jhāpessāmāti,.un.,,,,,jhāpessāmā+iti,,1,60,12,union,cm
100303,jhāti,.un.,,,,,jhā+iti,,1,60,5,union,cm
100304,jīraṇatāti,.un.,,,,,jīraṇatā+iti,,1,60,10,union,cm
100305,jitāti,.un.,,,,,jitā+iti,,1,60,6,union,cm
100306,jīvitenāti,.un.,,,,,jīvitenā+iti,,1,60,10,union,cm
