id,book,par_num,level,class,title,text
NULL,p34,401,100,gatha3,,"Salajjā gaṇikā naṭṭhā,"
NULL,p34,402,100,gathalast,,"Nillajjā ca kulitthiyo."
NULL,p34,403,8,hangnum,81.,81.
NULL,p34,404,100,gatha1,," Avaṃsapatito rājā,"
NULL,p34,405,100,gatha2,,"Mūḷhaputto ca paṇḍito;"
NULL,p34,406,100,gatha3,,"Adhanena dhanaṃ pāpya,"
NULL,p34,407,100,gathalast,,"Tiṇaṃva maññate janaṃ."
NULL,p34,408,8,hangnum,82.,82.
NULL,p34,409,100,gatha1,," Brahmahāpi  naro pujjo,"
NULL,p34,410,100,gatha2,,"Yassatthi vipulaṃ dhanaṃ;"
NULL,p34,411,100,gatha3,,"Sasino tulyavaṃsopi,"
NULL,p34,412,100,gathalast,,"Niddhano paribhūyate."
NULL,p34,413,8,hangnum,83.,83.
NULL,p34,414,100,gatha1,," Potthakaṭṭhā  tu yāvijjā,"
NULL,p34,415,100,gatha2,,"Parahatthagataṃ dhanaṃ;"
NULL,p34,416,100,gatha3,,"Kiccakāle samuppanne,"
NULL,p34,417,100,gathalast,,"Na sāvijjā na taddhanaṃ."
NULL,p34,418,8,hangnum,84.,84.
NULL,p34,419,100,gatha1,," Pādapānaṃ bhayaṃ vātā,"
NULL,p34,420,100,gatha2,,"Padmānaṃ sisirā bhayaṃ;"
NULL,p34,421,100,gatha3,,"Pabbatānaṃ vajīramhā,"
NULL,p34,422,100,gathalast,,"Sādhūnaṃ dujjanā bhayaṃ."
NULL,p34,423,8,hangnum,85.,85.
NULL,p34,424,100,gatha1,," Paññe  niyujjamāne tu,"
NULL,p34,425,100,gatha2,,"Santi rañño tayoguṇā;"
NULL,p34,426,100,gatha3,,"Yaso sagganivāso ca,"
NULL,p34,427,100,gathalast,,"Vipulo ca dhanāgamo."
NULL,p34,428,8,hangnum,86.,86.
NULL,p34,429,100,gatha1,," Mūḷhe  niyujjamānetu,"
NULL,p34,430,100,gatha2,,"Khattiyassāguṇā tayo;"
NULL,p34,431,100,gatha3,,"Ayaso catthanāso ca,"
NULL,p34,432,100,gathalast,,"Narake gamanaṃ tathā."
NULL,p34,433,8,hangnum,87.,87.
NULL,p34,434,100,gatha1,," Bahūmūḷhasaṅghātehi,"
NULL,p34,435,100,gatha2,,Aññoññapasuvuttibhi;
NULL,p34,436,100,gatha3,,"Pacchādyante guṇā sabbe,"
NULL,p34,437,100,gathalast,,"Meghehiva divākaro."
NULL,p34,438,8,hangnum,88.,88.
NULL,p34,439,100,gatha1,," Yassa khettaṃ nadītīre,"
NULL,p34,440,100,gatha2,,"Bhariyāpi parappiyā;"
NULL,p34,441,100,gatha3,,"Puttassa vinayo natthi,"
NULL,p34,442,100,gathalast,,"Maccureva nasaṃsayo."
NULL,p34,443,8,hangnum,89.,89.
NULL,p34,444,100,gatha1,," Asambhābyaṃ  navattabbaṃ,"
NULL,p34,445,100,gatha2,,"Paccakkhamapi dissate;"
NULL,p34,446,100,gatha3,,"Silā tarati pānīyaṃ,"
NULL,p34,447,100,gathalast,,"Gītaṃ gāyati vānaro."
NULL,p34,448,8,hangnum,90.,90.
NULL,p34,449,100,gatha1,," Subhikkhaṃ  kasake niccaṃ,"
NULL,p34,450,100,gatha2,,"Niccaṃ sukha marogike;"
NULL,p34,451,100,gatha3,,"Bhariyā bhattu piyā yassa,"
NULL,p34,452,100,gathalast,,"Tassa niccossavaṃ gahaṃ."
NULL,p34,453,8,hangnum,91.,91.
NULL,p34,454,100,gatha1,," Helassa kammanāsāya,"
