"gramma","count"
sīlasuddhivasenadī.ni.ṭī.,1
sīlasuddhivasenadī.ni.ṭī.1.,1
su.ni.,662
Su.ni.,1
su.ni.1.,4
su.ni.1.15.,1
su.ni.1.5.,2
su.ni.1041cūḷani.,2
su.ni.15.,1
su.ni.aṭṭha.,109
su.ni.aṭṭha.1.,61
su.ni.aṭṭha.1.1.,1
su.ni.aṭṭha.2.,28
subodhālaṃkāre,1
sukkhāsaniviyadī.ni.aṭṭha.,1
sukkhāsaniviyadī.ni.aṭṭha.3.,1
suṃ.ni.,1
suṃ.ni.1.,1
suṃ.ni.1.1.,2
syā.jā.,2
syā.jā.1.,2
syā.jā.1.4.,1
syā.jā.1.6.,1
"syā.ka.,ma.ni.",2
"syā.ka.,ma.ni.2.",2
"syā.kaṃ.,dī.ni.",1
"syā.kaṃ.,dī.ni.2.",1
"syā.kaṃ.aṭṭhakathāyampipāṭhantaraṃ,saṃ.ni.",1
"syā.kaṃ.aṭṭhakathāyampipāṭhantaraṃ,saṃ.ni.3.",1
"syā.kaṃ.ka.,a.ni.",1
"syā.kaṃ.ka.,a.ni.3.",1
syā.mahāva.,1
syā.saṃ.ni.,1
syā.saṃ.ni.1.,1
syā.udā.,1
theragā.,160
Theragā.,1
theragā.1.,5
theragā.1.15.,4
theragā.aṭṭha.,46
theragā.aṭṭha.1.,22
theragā.aṭṭha.1.1.,1
theragā.aṭṭha.1.2.,1
theragā.aṭṭha.2.,16
therīgā.,13
therīgā.aṭṭha.,3
tikaṇḍasesaṭīkā,2
tikaṇḍasesaṭīkā1.,2
tikaṇḍasesaṭīkā1.1.,2
tissametteyyamāṇavapucchāniddesa,1
"tissametteyyamāṇavapucchāniddesa10,",1
titaṇḍasesa,1
titaṇḍasesa1.,1
titaṇḍasesa1.1.,1
u.vi.,7
udā.,353
Udā.,1
udā.aṭṭha.,108
udā.aṭṭha.1.,1
udāna.aṭṭha.,1
udānaaṭṭha.,1
udānaparicchedo,1
udānaṭṭhakathāyaṃ,1
"udānaṭṭhakathāyaṃ4vagge,",1
upasīvamāṇavapucchāniddesa,1
va.,1
vajira.ṭī.,138
vajira.ṭī.cūḷavagga.,1
vajiraṭī.,1
vanadāhādīsuvāsārattha.ṭī.,1
vanadāhādīsuvāsārattha.ṭī.cūḷavagga3.,1
vi.,1
vi.1.,5
vi.aṭṭha.,4
vi.aṭṭha.2.,1

vi.saṅga.aṭṭha.,46
Vi.saṅga.aṭṭha.,1
vi.saṅga.aṭṭha.34.,2
vi.saṅgaaṭṭha.,1

vi.va.,95
Vi.va.,1
vi.va.aṭṭha.,18
vi.vi.,24
vi.vi.ṭi.,1
vi.vi.ṭī.,229
vi.vi.ṭī.1.,84
vi.vi.ṭī.2.,2
vi.vi.ṭī.cūḷavagga2.,29
vi.vi.ṭī.mahāvagga2.,78
vi.vi.ṭī.pacittiya2.,1
vi.vi.ṭī.pācittiya2.,26
vi.vi.ṭi.parivāra2.,1
vi.vi.ṭī.parivāra2.,4
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.2.,1
vi.vi.ṭī.parivāra2.271saṃ.ni.aṭṭha.2.2.,1
vibha.,1160
Vibha.,2
vibha.1.,1
vibha.3.,1
vibha.4.,1
vibha.a.,1
vibha.anuṭī.,4
vibha.anuṭī.2.,1
vibha.aṭṭha.,237
Vibha.aṭṭha.,2
vibha.aṭṭha.2.,1
